sitename,value,category
aarp.org,64770,Home
acm.org,83924,Computer
adf.ly,9419,Computer
alexa.com,56511,Computer
amazon.com,5996,Shopping
att.com,21469,Business
blackboard.com,45542,Reference
bleacherreport.com,120000,Sports
bloomberg.com,100994,News
carfax.com,6334,Home
cartoonnetwork.com,34324,Kids and Teens
citi.com,13053,Business
cnet.com,4915,Computer
costco.com,41371,Shopping
diply.com,19107,Computer
ebay.com,3212,Shopping
etsy.com,19359,Shopping
heart.org,36932,Health
history.com,18885,Kids and Teens
imgur.com,12810,Computer
kongregate.com,6010,Games
kotaku.com,53728,Games
lifehacker.com,37870,Home
macys.com,30723,Shopping
marriott.com,32041,Recreational
mathworks.com,14495,Science
mozilla.org,8473,Computer
nytimes.com,95176,News
opera.com,5516,Computer
overstock.com,12237,Shopping
playstation.com,30074,Games
ranker.com,12923,News
rantsports.com,87959,Sports
retailmenot.com,8108,Shopping
samsung.com,13164,Business
scribd.com,20190,Business
sfgate.com,47868,News
sitepoint.com,33106,Reference
slideshare.net,4825,Computer
squareup.com,21783,Business
stubhub.com,6960,Shopping
ted.com,26951,Science
theatlantic.com,94259,News
theonion.com,45117,Shopping
vimeo.com,11153,Computer
weightwatchers.com,80753,Health
whitehouse.gov,11571,Society
wiley.com,27362,Business
wunderlist.com,11372,Home
youtube.com,12955,Computer
