sitename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aarp.org,0.771875,0.1309895833,0.05,0.9444444444,0.1073784722,0.1912326389,0.0555555556,0.2643229167,0.0555555556,0.9444444444,0.4565972222,0.3883680556,0.0448784722,0.9444444444,0.121875,0.9444444444,0.6830729167,0.0555218447,0.3741319444,0.9297395833,0.0486111111,0.9444444444,0.0555218447,0.0848388672,0.8284722222,0.1039930556,0.0607638889,0.1066840278,0.9444444444,0.0894965278,0.3461805556,0.0793402778,0.0443576389,0.0555555556,0.0533536585,0.0886284722,0.1217881944,0.0555555556,0.1737847222,0.1644965278,0.0555555556,0.9423611111,0.0615451389,0.0555555556,0.2360243056,0.05
acm.org,0.7391304348,0.1044157609,0.0582201087,0.694701087,0.0434782609,0.3603940217,0.1217391304,0.1633831522,0.0434782609,0.7391304348,0.7391304348,0.2114130435,0.0351222826,0.6023777174,0.0938179348,0.7391304348,0.7375,0.0434518784,0.7391304348,0.3454076087,0.0380434783,0.7826086957,0.146204886,0.6563773777,0.9565217391,0.2442934783,0.1059782609,0.1257472826,0.7391304348,0.3867527174,0.3154211957,0.0434782609,0.0347146739,0.7391304348,0.0417550371,0.1061141304,0.1517663043,0.0434782609,0.0434782609,0.0417798913,0.1793478261,0.7375,0.0385190217,0.0434782609,0.0517663043,0.0391304348
adf.ly,0.75,0.60859375,0.225,0.75,0.523828125,0.75,0.412890625,0.737109375,0.25,0.75,0.75,0.75,0.201953125,0.75,0.624609375,0.75,0.75,0.249848301,0.25,0.75,0.21875,0.75,0.4205097087,0.75,0.75,0.684765625,0.75,0.75,0.75,0.3203125,0.648046875,0.367578125,0.199609375,0.25,0.2400914634,0.25,0.378125,0.25,0.25,0.240234375,0.3671875,0.740625,0.221484375,0.25,0.21875,0.225
alexa.com,0.9,0.304375,0.09,0.9,0.1,0.11296875,0.50640625,0.23875,0.1,0.9,0.9,0.9,0.08078125,0.9,0.33703125,0.9,0.65875,0.0999393204,0.9,0.7531875,0.0875,0.9,0.2666413835,0.8697509766,0.9,0.660625,0.3403125,0.2721875,0.9,0.2053125,0.68625,0.3490625,0.07984375,0.1,0.1000277162,0.1853125,0.11765625,0.1,0.1303125,0.09609375,0.31875,0.9,0.08859375,0.1,0.1171875,0.1291875
amazon.com,0.348828125,0.308203125,0.875,0.875,0.125,0.875,0.2560546875,0.25,0.125,0.875,0.17578125,0.5478515625,0.1009765625,0.875,0.316796875,0.875,0.8703125,0.1249241505,0.125,0.8750390625,0.109375,0.875,0.2370486954,0.1249694824,0.125,0.270703125,0.125,0.2330078125,0.875,0.208984375,0.8703125,0.1640625,0.0998046875,0.61328125,0.1200457317,0.125,0.125,0.125,0.125,0.1201171875,0.125,0.8703125,0.125,0.125,0.109375,0.1125
att.com,0.728515625,0.29609375,0.1125,0.481640625,0.175,0.5599609375,0.3671875,0.625,0.125,0.75,0.65703125,0.4150390625,0.1009765625,0.75,0.4814453125,0.625,0.6203125,0.1249241505,0.125,0.75,0.109375,0.75,0.6249620752,0.6250305176,0.625,0.2361328125,0.18203125,0.219921875,0.625,0.212890625,0.6123046875,0.125,0.0998046875,0.625,0.1200457317,0.125,0.16796875,0.125,0.5896484375,0.7451171875,0.3984375,0.7453125,0.1107421875,0.125,0.1845703125,0.1125
blackboard.com,0.7272727273,0.3737215909,0.1982954545,0.7701704545,0.2951704545,0.0873579545,0.0909090909,0.7272727273,0.0909090909,0.8181818182,0.7272727273,0.7272727273,0.0734375,0.9090909091,0.2643465909,0.7272727273,0.5085227273,0.0908539276,0.7272727273,0.9091193182,0.0795454545,0.8181818182,0.0908539276,0.6142356179,0.9076704545,0.3414772727,0.2576704545,0.2650568182,0.7272727273,0.0909090909,0.2923295455,0.1231534091,0.0725852273,0.3039772727,0.0873059867,0.1909090909,0.2196022727,0.0909090909,0.4049715909,0.0873579545,0.1761363636,0.9090909091,0.0805397727,0.0909090909,0.3487215909,0.0919602273
bleacherreport.com,0.4308125,0.14325,0.036,1,0.04,0.0430625,0.0639375,0.2423125,0.04,1,1,1,0.0323125,0.4766875,0.1293125,1,0.9985,0.0399757282,0.04,0.7662375,0.035,1,0.1014684466,0.4069335938,1,0.1215,0.1703125,0.068125,1,0.291875,0.3623125,0.0816875,0.0319375,1,0.0384146341,0.10725,0.1240625,0.04,0.04,0.0384375,0.38375,0.9985,1,0.04,0.0840625,0.0424875
bloomberg.com,0.9166666667,0.14609375,0.075,0.9166666667,0.0833333333,0.080078125,0.166015625,0.9095052083,0.0833333333,0.9166666667,0.9166666667,0.4287760417,0.0673177083,0.9166666667,0.1967447917,0.9166666667,0.4729166667,0.083282767,0.9166666667,0.916640625,0.0729166667,0.9166666667,0.3017293689,0.6410522461,0.9166666667,0.850390625,0.2328125,0.2545572917,0.9166666667,0.697265625,0.5360677083,0.1303385417,0.0665364583,0.0833333333,0.0800304878,0.2098958333,0.1580729167,0.0833333333,0.2247395833,0.0833333333,0.5520833333,0.7326822917,0.9071614583,0.0833333333,0.2770833333,0.094296875
carfax.com,0.5,0.5,0.45,0.5,0.5,0.48046875,0.5,0.5,0.5,0.5,0.5,0.5,0.40390625,0.5,0.5,0.5,0.48125,0.4996966019,0.5,0.50015625,0.4375,0.5,0.4996966019,0.4998779297,0.5,0.5,0.5,0.5,0.5,0.5,0.48125,0.5,0.39921875,0.5,0.4801829268,0.5,0.5,0.5,0.5,0.48046875,0.5,0.5,0.44296875,0.5,0.453125,0.45
