sitename,value
aarp.org,5048.5
acm.org,4688
adf.ly,2604
alexa.com,5178
amazon.com,2602
att.com,6446
blackboard.com,4355
bleacherreport.com,6675.5
bloomberg.com,5467
carfax.com,3927
cartoonnetwork.com,4036.5
citi.com,3985
cnet.com,3260
costco.com,4929
diply.com,4254
ebay.com,2582
etsy.com,4029
heart.org,7100
history.com,2386
imgur.com,5659
kongregate.com,2230
kotaku.com,4508
lifehacker.com,3335
macys.com,5496
marriott.com,5929
mathworks.com,3727
mozilla.org,3009
nytimes.com,6024
opera.com,1869
overstock.com,1870.5
playstation.com,6630
ranker.com,3124
rantsports.com,4307
retailmenot.com,2567
samsung.com,2796
scribd.com,3965
sfgate.com,8680
sitepoint.com,3062
slideshare.net,5096
squareup.com,3909
stubhub.com,4035
ted.com,3055
theatlantic.com,6236
theonion.com,3715
vimeo.com,2887
weightwatchers.com,10456
whitehouse.gov,2911
wiley.com,6167
wunderlist.com,3048
youtube.com,2862
