sitename,value
aarp.org,8575
acm.org,9286
adf.ly,4632
alexa.com,8091
amazon.com,5623
att.com,7399
blackboard.com,10443
bleacherreport.com,15775
bloomberg.com,9119
carfax.com,4682
cartoonnetwork.com,6884
citi.com,6177
cnet.com,9055
costco.com,7543
diply.com,6618
ebay.com,4322
etsy.com,7156
heart.org,9326
history.com,5351
imgur.com,9027
kongregate.com,4292
kotaku.com,12633
lifehacker.com,8643
macys.com,7523
marriott.com,8711
mathworks.com,5562
mozilla.org,5639
nytimes.com,13070
opera.com,3525
overstock.com,4185
playstation.com,9401
ranker.com,5520
rantsports.com,10997
retailmenot.com,5354
samsung.com,5214
scribd.com,6314
sfgate.com,12382
sitepoint.com,6045
slideshare.net,7741
squareup.com,7093
stubhub.com,5469
ted.com,6445
theatlantic.com,11388
theonion.com,6820
vimeo.com,5689
weightwatchers.com,12989
whitehouse.gov,4758
wiley.com,7910
wunderlist.com,5617
youtube.com,4741
